bulan,kategori,nama_barang,satuan,sisa_lalu_volume,sisa_lalu_harga_satuan,sisa_lalu_total,pengadaan_volume,pengadaan_harga_satuan,pengadaan_total,jumlah_volume,jumlah_harga,pemakaian_volume,pemakaian_harga_satuan,pemakaian_total,sisa_volume,sisa_harga,keterangan
Januari 2026,Persediaan Alat Tulis Kantor,Spidol Besar Permanen,Buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Tinta Printer Warna,buah,2,65700.0,131400,0,65700,0,2,131400,2,65700,131400,0,0,
Januari 2026,Persediaan Alat Tulis Kantor,Tinta Printer Hitam,buah,1,58600.0,58600,0,58600,0,1,58600,0,58600,58600,1,58600,
Januari 2026,Persediaan Alat Tulis Kantor,Usb/Flash Disk - 32GB,buah,0,55000.0,0,0,55000,0,0,0,0,55000,0,0,0,
Januari 2026,Persediaan Benda Pos,Materai 10000,buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
Januari 2026,Persediaan Barang Cetakan Lainnya,Stopmap Lambang Lima Warna,buah,40,8300.0,332000,0,0,0,40,332000,10,7000,70000,30,262000,
Januari 2026,Persediaan Barang Cetakan Lainnya,Blangko SPPD NCR 4 Rangkap,buku,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
Januari 2026,Persediaan Barang Cetakan Lainnya,Blangko Lambang Garuda,Set,430,2900.0,1247000,0,0,0,430,1247000,50,2800,140000,380,1107000,
Januari 2026,Persediaan Barang Cetakan Lainnya,Blanko cetakan 1 folio kertas Doorslag warna 2 Muka,buku,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Amplop sedang,dus,0,20400.0,0,0,20400,0,0,0,0,20400,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Ballpoint-kerja,buah,10,4000.0,40000,0,4000,0,10,40000,10,4000,40000,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Ballpoint - boxy/baliner,buah,0,18400.0,0,0,18400,0,0,0,0,18400,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Binder  Clip  155,dus,0,950.0,0,0,950,0,0,0,0,950,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Binder  Clip 200,Buah,50,1600.0,80000,0,1600,0,50,80000,10,1600,16000,40,64000,
Februari 2026,Persediaan Alat Tulis Kantor,Buku Ekspedisi,buku,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,file box - plastik warna,buah,0,31900.0,0,0,31900,0,0,0,0,31900,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Isi Hechtneices no.10,dus,0,4200.0,42000,0,4200,0,0,0,0,4200,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 70 gram,rim,0,69100.0,0,0,69100,0,0,0,0,69100,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 80 gram,rim,0,70200.0,0,0,70200,0,0,0,0,70200,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Kertas HVS Ukuran A4  : 70 gram,rim,0,59300.0,0,0,59300,0,0,0,0,59300,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Klip Jumbo,dus,0,8300.0,0,0,8300,0,0,0,0,8300,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Map Dokumen Sleting,buah,0,23800.0,0,0,23800,0,0,0,0,23800,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Ordner Folio,buah,0,41300.0,0,0,41300,0,0,0,0,41300,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Pensil - Hitam 2B,buah,0,5000.0,0,0,6200,0,0,0,0,5000,60800,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Post it,pak,0,64000.0,0,0,64000,0,0,0,0,64000,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Snelhectter - Plastik,buah,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Stabilo Kecil,Buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Tinta Stempel,botol,0,18200.0,0,0,18200,0,0,0,0,18200,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Type Ex Ballpoint,buah,0,39400.0,0,0,39400,0,0,0,0,39400,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Plak ban,Roll,0,20300.0,0,0,20300,0,7,0,7,20300,142100,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Setip Biasa,Buah,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Spidol Besar Permanen,Buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Tinta Printer Warna,buah,0,65700.0,0,0,65700,0,0,0,0,65700,0,0,0,
Februari 2026,Persediaan Alat Tulis Kantor,Tinta Printer Hitam,buah,1,58600.0,58600,0,58600,0,1,58600,0,58600,58600,1,58600,
Februari 2026,Persediaan Alat Tulis Kantor,Usb/Flash Disk - 32GB,buah,0,55000.0,0,0,55000,0,0,0,0,55000,0,0,0,
Februari 2026,Persediaan Benda Pos,Materai 10000,buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
Februari 2026,Persediaan Barang Cetakan Lainnya,Stopmap Lambang Lima Warna,buah,30,8300.0,249000,0,0,0,30,249000,10,7000,70000,20,179000,
Februari 2026,Persediaan Barang Cetakan Lainnya,Blangko SPPD NCR 4 Rangkap,buku,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
Februari 2026,Persediaan Barang Cetakan Lainnya,Blangko Lambang Garuda,Set,380,2900.0,1102000,0,0,0,380,1102000,50,2800,140000,330,962000,
Februari 2026,Persediaan Barang Cetakan Lainnya,Blanko cetakan 1 folio kertas Doorslag warna 2 Muka,buku,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Amplop sedang,dus,0,20400.0,0,0,20400,0,0,0,0,20400,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Ballpoint-kerja,buah,0,4000.0,0,0,4000,0,0,0,0,4000,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Ballpoint - boxy/baliner,buah,0,18400.0,0,0,18400,0,0,0,0,18400,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Binder  Clip  155,dus,0,950.0,0,0,950,0,0,0,0,950,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Binder  Clip 200,Buah,40,1600.0,64000,0,1600,0,40,64000,10,1600,16000,30,48000,
Maret 2026,Persediaan Alat Tulis Kantor,Buku Ekspedisi,buku,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,file box - plastik warna,buah,0,31900.0,0,0,31900,0,0,0,0,31900,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Isi Hechtneices no.10,dus,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 75 gram,rim,0,49000.0,0,25,49000,1225000,25,1225000,10,49000,490000,15,735000,
Maret 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 80 gram,rim,0,55000.0,0,10,55000,550000,10,550000,5,55000,275000,5,275000,
Maret 2026,Persediaan Alat Tulis Kantor,Kertas HVS Ukuran A4  : 70 gram,rim,0,59300.0,0,0,59300,0,0,0,0,59300,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Klip Jumbo,dus,0,8300.0,0,0,8300,0,0,0,0,8300,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Map Dokumen,buah,0,23800.0,0,18,23800,428400,18,428400,18,23800,428400,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Ordner Folio,buah,0,41300.0,0,10,41300,413000,10,413000,10,41300,413000,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Pensil - Hitam 2B,buah,0,5000.0,0,0,6200,0,0,0,0,5000,60800,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Post it,pak,0,64000.0,0,15,64000,960000,15,960000,15,64000,960000,10,0,
Maret 2026,Persediaan Alat Tulis Kantor,Snelhectter - Plastik,buah,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Stabilo Kecil,Buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Tinta Stempel,botol,0,18200.0,0,0,18200,0,0,0,0,18200,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Type Ex Ballpoint,buah,0,39400.0,0,5,39400,197000,5,197000,5,39400,197000,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Plak ban,Roll,0,20300.0,0,0,20300,0,7,0,7,20300,142100,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Setip Biasa,Buah,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Spidol Besar Permanen,Buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Tinta Printer Warna,buah,0,65700.0,0,5,65500,327500,5,327500,5,65700,328500,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Tinta Printer Hitam,buah,1,58600.0,58600,5,58500,292500,6,351100,6,58500,351000,0,0,
Maret 2026,Persediaan Alat Tulis Kantor,Usb/Flash Disk - 32GB,buah,0,55000.0,0,0,55000,0,0,0,0,55000,0,0,0,
Maret 2026,Persediaan Benda Pos,Materai 10000,buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
Maret 2026,Persediaan Barang Cetakan Lainnya,Stopmap Lambang Lima Warna,buah,20,8300.0,166000,0,0,0,20,166000,10,7000,70000,10,70000,
Maret 2026,Persediaan Barang Cetakan Lainnya,Blangko SPPD NCR 4 Rangkap,buku,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
Maret 2026,Persediaan Barang Cetakan Lainnya,Blangko Lambang Garuda,Set,330,2900.0,957000,0,0,0,330,957000,230,2800,644000,100,280000,
Maret 2026,Persediaan Barang Cetakan Lainnya,Blanko cetakan 1 folio kertas Doorslag warna 2 Muka,buku,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Amplop sedang,dus,3,20400.0,61200,0,20400,0,3,61200,3,20400,61200,0,0,
April 2026,Persediaan Alat Tulis Kantor,Ballpoint-kerja,buah,10,4000.0,40000,0,4000,0,10,40000,10,4000,40000,0,0,
April 2026,Persediaan Alat Tulis Kantor,Ballpoint - boxy/baliner,buah,0,18400.0,0,0,18400,0,0,0,0,18400,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Binder  Clip  155,dus,0,950.0,0,0,950,0,0,0,0,950,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Binder  Clip 200,Buah,10,1600.0,16000,0,1600,0,10,16000,10,1600,16000,0,0,
April 2026,Persediaan Alat Tulis Kantor,Binder  Clip 260,Dus,0,18600.0,0,0,18600,0,0,0,0,18600,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Buku Ekspedisi,buku,2,14500.0,29000,0,14500,0,2,29000,2,14500,29000,0,0,
April 2026,Persediaan Alat Tulis Kantor,Buku Folio Garis isi 100 lembar,buah,0,22200.0,0,0,22200,0,0,0,0,22200,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,file box - plastik warna,buah,3,31900.0,95700,0,31900,0,3,95700,3,31900,95700,0,0,
April 2026,Persediaan Alat Tulis Kantor,Isi Hechtneices no.10,dus,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 70 gram,rim,8,69100.0,552800,0,69100,0,8,552800,8,69100,552800,0,0,
April 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 80 gram,rim,3,70200.0,210600,0,70200,0,3,210600,3,70200,210600,0,0,
April 2026,Persediaan Alat Tulis Kantor,Kertas HVS Ukuran A4  : 70 gram,rim,0,59300.0,0,0,59300,0,0,0,0,59300,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Klip Jumbo,dus,0,8300.0,0,0,8300,0,0,0,0,8300,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Map Dokumen Sleting,buah,0,23800.0,0,0,23800,0,0,0,0,23800,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Ordner Folio,buah,5,41300.0,206500,0,41300,0,5,206500,5,41300,206500,0,0,
April 2026,Persediaan Alat Tulis Kantor,Pensil - Hitam 2B,buah,0,6200.0,0,0,6200,0,0,0,0,5000,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Post it,pak,0,64000.0,0,0,64000,0,0,0,0,64000,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Snelhectter - Plastik,buah,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Stabilo Kecil,Buah,0,10400.0,0,0,10400,0,0,0,0,10400,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Tinta Stempel,botol,0,18200.0,0,0,18200,0,0,0,0,18200,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Type Ex Ballpoint,buah,0,39400.0,0,0,39400,0,0,0,0,39400,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Plak ban,Roll,0,20300.0,0,0,20300,0,2,0,2,20300,40600,0,0,
April 2026,Persediaan Alat Tulis Kantor,Setip Biasa,Buah,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Spidol Besar Permanen,Buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
April 2026,Persediaan Alat Tulis Kantor,Tinta Printer Warna,buah,3,65700.0,197100,0,65700,0,3,197100,3,65700,197100,0,0,
April 2026,Persediaan Alat Tulis Kantor,Tinta Printer Hitam,buah,2,58600.0,117200,0,58600,0,2,117200,2,58600,117200,0,0,
April 2026,Persediaan Alat Tulis Kantor,Usb/Flash Disk - 32GB,buah,5,55000.0,275000,0,55000,0,5,275000,5,55000,275000,0,0,
April 2026,Persediaan Benda Pos,Materai 10000,buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
April 2026,Persediaan Barang Cetakan Lainnya,Blangko SPPD NCR 4 Rangkap,buku,0,51.6,0,0,0,0,0,0,0,0,0,0,0,
April 2026,Persediaan Barang Cetakan Lainnya,Blangko Lambang Garuda(Emas),Set,100,2900.0,0,0,2900,0,100,0,50,2900,145000,50,145000,
April 2026,Persediaan Barang Cetakan Lainnya,Cetak Buku,buku,0,19600.0,0,0,19600,0,0,0,0,19600,0,0,0,
April 2026,Persediaan Barang Cetakan Lainnya,Stopmap,buah,50,8300.0,0,0,8300,0,50,0,20,8300,166000,30,249000,
Mei 2026,Persediaan Alat Tulis Kantor,Amplop sedang,dus,0,20400.0,0,0,20400,0,0,0,0,20400,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Ballpoint-kerja,buah,0,4000.0,0,24,4000,96000,24,96000,20,4000,80000,4,16000,
Mei 2026,Persediaan Alat Tulis Kantor,Ballpoint - boxy/baliner,buah,0,18400.0,0,0,18400,0,0,0,0,18400,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Binder  Clip  155,dus,0,950.0,0,0,950,0,0,0,0,950,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Binder  Clip 200,Buah,0,1600.0,0,0,1600,0,0,0,0,1600,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Binder  Clip 260,Dus,0,18600.0,0,0,18600,0,0,0,0,18600,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Buku Ekspedisi,buku,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Buku Folio Garis isi 100 lembar,buah,0,22200.0,0,0,22200,0,0,0,0,22200,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,file box - plastik warna,buah,0,31900.0,0,0,31900,0,0,0,0,31900,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Isi Hechtneices no.10,dus,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 70 gram,rim,0,69100.0,0,15,69100,1036500,15,1036500,13,69100,898300,2,138200,
Mei 2026,Persediaan Alat Tulis Kantor,Kertas HVS - Folio  : 80 gram,rim,0,70200.0,0,20,70200,1404000,20,1404000,18,70200,1263600,2,140400,
Mei 2026,Persediaan Alat Tulis Kantor,Kertas HVS Ukuran A4  : 70 gram,rim,0,59300.0,0,9,59300,533700,9,533700,9,59300,533700,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Klip Jumbo,dus,0,8300.0,0,0,8300,0,0,0,0,8300,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Map Dokumen Sleting,buah,0,23800.0,0,15,23800,357000,15,357000,7,23800,166600,8,190400,
Mei 2026,Persediaan Alat Tulis Kantor,Ordner Folio,buah,0,41300.0,0,0,41300,0,0,0,0,41300,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Pensil - Hitam 2B,buah,0,6200.0,0,0,6200,0,0,0,0,5000,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Post it,pak,0,64000.0,0,10,64000,640000,10,640000,0,64000,0,0,640000,
Mei 2026,Persediaan Alat Tulis Kantor,Snelhectter - Plastik,buah,0,4200.0,0,0,4200,0,0,0,0,4200,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Stabilo Kecil,Buah,0,10400.0,0,5,10400,52000,5,52000,5,10400,52000,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Tinta Stempel,botol,0,18200.0,0,0,18200,0,0,0,0,18200,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Type Ex Ballpoint,buah,0,39400.0,0,5,39400,197000,5,197000,4,39400,157600,1,39400,
Mei 2026,Persediaan Alat Tulis Kantor,Plak ban,Roll,0,20300.0,0,2,20300,40600,2,40600,2,20300,40600,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Setip Biasa,Buah,0,14500.0,0,0,14500,0,0,0,0,14500,0,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Spidol Besar Permanen,Buah,0,10000.0,0,3,10000,30000,3,30000,3,10000,30000,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Tinta Printer Warna,buah,0,65700.0,0,3,65700,197100,3,197100,2,65700,131400,1,65700,
Mei 2026,Persediaan Alat Tulis Kantor,Tinta Printer Hitam,buah,0,58600.0,0,3,58600,175800,3,175800,3,58600,175800,0,0,
Mei 2026,Persediaan Alat Tulis Kantor,Usb/Flash Disk - 32GB,buah,0,55000.0,0,3,55000,165000,3,165000,0,55000,0,3,165000,
Mei 2026,Persediaan Benda Pos,Materai 10000,buah,0,10000.0,0,0,10000,0,0,0,0,10000,0,0,0,
Mei 2026,Persediaan Barang Cetakan Lainnya,Blangko SPPD NCR 4 Rangkap,buku,0,51.6,0,0,0,0,0,0,0,0,0,0,0,
Mei 2026,Persediaan Barang Cetakan Lainnya,Blangko Lambang Garuda(Emas),Set,50,2900.0,0,0,2900,0,50,0,0,2900,0,50,145000,
Mei 2026,Persediaan Barang Cetakan Lainnya,Cetak Buku,buku,0,19600.0,0,0,19600,0,0,0,0,19600,0,0,0,
Mei 2026,Persediaan Barang Cetakan Lainnya,Stopmap,buah,30,8300.0,0,0,8300,0,30,0,0,8300,0,30,249000,
